,timestamp,open,high,low,close,volume
0,1766484900000,0.834,0.835,0.833,0.835,517.65
1,1766485800000,0.835,0.835,0.833,0.833,1099.73
2,1766486700000,0.833,0.834,0.833,0.834,420.89
3,1766487600000,0.834,0.834,0.833,0.833,697.53
4,1766488500000,0.833,0.834,0.831,0.831,1502.28
5,1766489400000,0.831,0.832,0.83,0.83,198.91
6,1766490300000,0.83,0.83,0.827,0.829,2224.06
7,1766491200000,0.829,0.829,0.825,0.826,578.13
8,1766492100000,0.826,0.826,0.808,0.819,148652.48
9,1766493000000,0.819,0.821,0.818,0.821,5386.14
10,1766493900000,0.821,0.822,0.82,0.82,2576.74
11,1766494800000,0.82,0.82,0.82,0.82,8324.09
12,1766495700000,0.82,0.821,0.819,0.82,2074.19
13,1766496600000,0.82,0.821,0.812,0.818,13264.31
14,1766497500000,0.818,0.824,0.814,0.823,29317.17
15,1766498400000,0.823,0.827,0.818,0.826,21376.42
16,1766499300000,0.826,0.826,0.822,0.823,1024.31
17,1766500200000,0.823,0.826,0.821,0.825,4962.54
18,1766501100000,0.825,0.825,0.814,0.815,3286.67
19,1766502000000,0.815,0.823,0.815,0.822,2723.25
20,1766502900000,0.822,0.828,0.816,0.825,21948.79
21,1766503800000,0.825,0.827,0.823,0.823,4842.56
22,1766504700000,0.823,0.823,0.821,0.822,2283.11
23,1766505600000,0.822,0.831,0.822,0.83,11038.69
24,1766506500000,0.83,0.834,0.83,0.834,3135.62
25,1766507400000,0.834,0.835,0.831,0.834,7194.59
26,1766508300000,0.834,0.839,0.833,0.838,6012.55
27,1766509200000,0.838,0.847,0.838,0.844,7314.5
28,1766510100000,0.844,0.846,0.843,0.843,1363.65
29,1766511000000,0.843,0.843,0.838,0.84,4055.9
30,1766511900000,0.84,0.84,0.832,0.832,4852.7
31,1766512800000,0.832,0.836,0.831,0.836,4538.39
32,1766513700000,0.836,0.845,0.836,0.844,1549.35
33,1766514600000,0.844,0.854,0.844,0.853,7547.02
34,1766515500000,0.853,0.854,0.853,0.853,2119.75
35,1766516400000,0.853,0.854,0.85,0.851,1436.26
36,1766517300000,0.851,0.853,0.85,0.85,2645.78
37,1766518200000,0.85,0.85,0.849,0.849,441.68
38,1766519100000,0.849,0.855,0.849,0.853,2072.44
39,1766520000000,0.853,0.859,0.853,0.859,2353.02
40,1766520900000,0.859,0.862,0.857,0.858,1034.08
41,1766521800000,0.858,0.863,0.857,0.862,3644.71
42,1766522700000,0.862,0.862,0.859,0.859,1930.89
43,1766523600000,0.859,0.859,0.855,0.858,957.57
44,1766524500000,0.858,0.863,0.857,0.863,3066.0
45,1766525400000,0.863,0.878,0.862,0.868,17535.79
46,1766526300000,0.868,0.87,0.867,0.867,451.45
47,1766527200000,0.867,0.867,0.859,0.86,5920.6
48,1766528100000,0.86,0.862,0.857,0.858,1066.59
49,1766529000000,0.858,0.859,0.853,0.858,5535.88
50,1766529900000,0.858,0.859,0.858,0.858,1352.48
51,1766530800000,0.858,0.859,0.856,0.856,3972.51
52,1766531700000,0.856,0.856,0.855,0.855,2444.1
53,1766532600000,0.855,0.859,0.855,0.858,1602.15
54,1766533500000,0.858,0.858,0.856,0.857,2106.21
55,1766534400000,0.857,0.859,0.851,0.851,4887.18
56,1766535300000,0.851,0.855,0.851,0.853,1914.74
57,1766536200000,0.853,0.854,0.853,0.854,1715.27
58,1766537100000,0.854,0.857,0.854,0.856,2527.03
