,timestamp,open,high,low,close,volume
0,1766745900000,1.524,1.525,1.521,1.523,44852.6
1,1766746800000,1.523,1.524,1.521,1.524,18714.04
2,1766747700000,1.524,1.529,1.523,1.527,26161.6
3,1766748600000,1.527,1.53,1.526,1.53,8192.84
4,1766749500000,1.53,1.532,1.529,1.53,19115.16
5,1766750400000,1.53,1.531,1.528,1.531,17746.96
6,1766751300000,1.531,1.536,1.53,1.535,35714.39
7,1766752200000,1.535,1.537,1.533,1.537,23766.08
8,1766753100000,1.537,1.546,1.536,1.542,53064.28
9,1766754000000,1.542,1.547,1.539,1.546,58600.96
10,1766754900000,1.546,1.547,1.537,1.539,40677.99
11,1766755800000,1.539,1.539,1.533,1.534,23238.54
12,1766756700000,1.534,1.538,1.533,1.534,28195.29
13,1766757600000,1.534,1.538,1.531,1.536,52126.56
14,1766758500000,1.536,1.544,1.535,1.542,43463.78
15,1766759400000,1.542,1.543,1.532,1.536,69362.07
16,1766760300000,1.536,1.536,1.519,1.522,90400.44
17,1766761200000,1.522,1.522,1.509,1.513,109000.48
18,1766762100000,1.513,1.52,1.511,1.52,129407.37
19,1766763000000,1.52,1.526,1.515,1.519,60071.57
20,1766763900000,1.519,1.525,1.518,1.522,42510.79
21,1766764800000,1.522,1.527,1.517,1.517,43178.74
22,1766765700000,1.517,1.52,1.516,1.519,20250.09
23,1766766600000,1.519,1.519,1.515,1.518,16160.75
24,1766767500000,1.518,1.521,1.511,1.512,89459.08
25,1766768400000,1.512,1.516,1.512,1.516,20501.63
26,1766769300000,1.516,1.52,1.513,1.52,30197.89
27,1766770200000,1.52,1.525,1.519,1.523,24524.82
28,1766771100000,1.523,1.524,1.521,1.523,10872.33
29,1766772000000,1.523,1.525,1.521,1.525,19283.65
30,1766772900000,1.525,1.525,1.523,1.524,9772.61
31,1766773800000,1.524,1.528,1.524,1.528,9043.28
32,1766774700000,1.528,1.53,1.525,1.529,21050.72
33,1766775600000,1.529,1.533,1.528,1.531,15563.25
34,1766776500000,1.531,1.539,1.529,1.539,104635.65
35,1766777400000,1.539,1.545,1.539,1.543,44703.7
36,1766778300000,1.543,1.546,1.535,1.541,178643.57
37,1766779200000,1.541,1.541,1.537,1.541,22715.82
38,1766780100000,1.541,1.549,1.539,1.545,20348.24
39,1766781000000,1.545,1.548,1.543,1.548,13556.53
