,timestamp,open,high,low,close,volume
0,1766412900000,4.72,4.75,4.72,4.73,3672.15
1,1766413800000,4.73,4.75,4.68,4.7,12757.09
2,1766414700000,4.7,4.74,4.7,4.71,8555.82
3,1766415600000,4.71,4.74,4.68,4.68,8765.81
4,1766416500000,4.68,4.7,4.66,4.68,4761.94
5,1766417400000,4.68,4.68,4.64,4.67,2628.52
6,1766418300000,4.67,4.71,4.66,4.7,1094.29
7,1766419200000,4.7,4.74,4.7,4.73,2747.13
8,1766420100000,4.73,4.75,4.73,4.75,2007.29
9,1766421000000,4.75,4.75,4.7,4.71,3831.05
10,1766421900000,4.71,4.72,4.7,4.72,1368.62
11,1766422800000,4.72,4.72,4.68,4.7,1425.89
12,1766423700000,4.7,4.71,4.69,4.7,2360.51
13,1766424600000,4.7,4.73,4.7,4.72,825.41
14,1766425500000,4.72,4.73,4.7,4.73,336.93
15,1766426400000,4.73,4.73,4.72,4.73,1101.58
16,1766427300000,4.73,4.75,4.72,4.75,654.7
17,1766428200000,4.75,4.75,4.74,4.75,121.28
18,1766429100000,4.75,4.75,4.7,4.72,2752.86
19,1766430000000,4.72,4.72,4.65,4.66,4955.33
20,1766430900000,4.66,4.68,4.63,4.63,5514.67
21,1766431800000,4.63,4.64,4.61,4.62,5418.36
22,1766432700000,4.62,4.62,4.58,4.58,2887.25
23,1766433600000,4.58,4.62,4.58,4.61,1930.52
24,1766434500000,4.61,4.61,4.57,4.57,1572.64
25,1766435400000,4.57,4.59,4.57,4.58,2164.13
26,1766436300000,4.58,4.59,4.56,4.59,2896.99
27,1766437200000,4.59,4.6,4.57,4.6,954.52
28,1766438100000,4.6,4.6,4.59,4.6,169.62
29,1766439000000,4.6,4.62,4.6,4.62,771.97
30,1766439900000,4.62,4.62,4.6,4.6,1247.88
31,1766440800000,4.6,4.62,4.6,4.61,2774.86
32,1766441700000,4.61,4.65,4.61,4.64,1656.13
33,1766442600000,4.64,4.66,4.64,4.65,2826.46
34,1766443500000,4.65,4.68,4.65,4.67,618.4
35,1766444400000,4.67,4.68,4.66,4.68,12823.53
36,1766445300000,4.68,4.68,4.67,4.68,863.9
37,1766446200000,4.68,4.68,4.66,4.66,905.58
38,1766447100000,4.66,4.67,4.65,4.67,1374.8
39,1766448000000,4.67,4.67,4.66,4.66,628.05
40,1766448900000,4.66,4.69,4.66,4.69,1633.65
41,1766449800000,4.69,4.7,4.68,4.69,604.9
42,1766450700000,4.69,4.69,4.69,4.69,635.04
43,1766451600000,4.69,4.69,4.68,4.68,880.83
44,1766452500000,4.68,4.68,4.67,4.67,664.83
45,1766453400000,4.67,4.67,4.65,4.66,393.17
46,1766454300000,4.66,4.66,4.65,4.65,150.65
47,1766455200000,4.65,4.68,4.65,4.68,1450.89
48,1766456100000,4.68,4.7,4.68,4.69,950.79
49,1766457000000,4.69,4.69,4.64,4.64,1346.68
50,1766457900000,4.64,4.64,4.63,4.63,1278.95
51,1766458800000,4.63,4.63,4.6,4.62,12225.88
52,1766459700000,4.62,4.64,4.62,4.62,1000.48
53,1766460600000,4.62,4.64,4.62,4.64,6651.8
54,1766461500000,4.64,4.64,4.63,4.63,1405.57
55,1766462400000,4.63,4.65,4.62,4.65,1608.72
56,1766463300000,4.65,4.65,4.64,4.64,573.92
57,1766464200000,4.64,4.64,4.63,4.63,492.87
58,1766465100000,4.63,4.63,4.62,4.62,673.25
59,1766466000000,4.62,4.62,4.61,4.62,282.75
60,1766466900000,4.62,4.62,4.61,4.62,602.45
61,1766467800000,4.62,4.62,4.59,4.61,1897.18
62,1766468700000,4.61,4.61,4.6,4.6,161.57
63,1766469600000,4.6,4.61,4.6,4.6,1204.96
