,timestamp,open,high,low,close,volume
0,1766747700000,1.465,1.465,1.463,1.465,1041.67
1,1766748600000,1.465,1.469,1.462,1.467,2209.81
2,1766749500000,1.467,1.469,1.466,1.468,570.73
3,1766750400000,1.468,1.469,1.466,1.469,857.8
4,1766751300000,1.469,1.474,1.467,1.471,4081.12
5,1766752200000,1.471,1.475,1.469,1.475,759.73
6,1766753100000,1.475,1.475,1.471,1.471,343.41
7,1766754000000,1.471,1.474,1.469,1.471,550.8
8,1766754900000,1.471,1.474,1.466,1.473,3892.31
9,1766755800000,1.473,1.475,1.47,1.473,532.58
10,1766756700000,1.473,1.478,1.472,1.476,2130.24
11,1766757600000,1.476,1.477,1.469,1.475,4641.6
12,1766758500000,1.475,1.475,1.472,1.474,365.06
13,1766759400000,1.474,1.474,1.459,1.464,6005.34
14,1766760300000,1.464,1.464,1.44,1.448,12116.86
15,1766761200000,1.448,1.452,1.433,1.443,5306.86
16,1766762100000,1.443,1.445,1.436,1.443,7108.06
17,1766763000000,1.443,1.449,1.442,1.444,3413.21
18,1766763900000,1.444,1.451,1.444,1.447,2736.15
19,1766764800000,1.447,1.451,1.438,1.438,4302.8
20,1766765700000,1.438,1.443,1.438,1.443,620.23
21,1766766600000,1.443,1.445,1.439,1.445,2198.3
22,1766767500000,1.445,1.445,1.431,1.431,3920.27
23,1766768400000,1.431,1.436,1.431,1.434,2925.9
24,1766769300000,1.434,1.444,1.432,1.444,5691.45
25,1766770200000,1.444,1.447,1.44,1.443,2135.14
26,1766771100000,1.443,1.451,1.443,1.444,3807.75
27,1766772000000,1.444,1.444,1.438,1.44,2492.81
28,1766772900000,1.44,1.442,1.438,1.438,640.89
29,1766773800000,1.438,1.444,1.438,1.443,1147.71
30,1766774700000,1.443,1.449,1.438,1.445,4219.68
31,1766775600000,1.445,1.446,1.444,1.446,619.11
32,1766776500000,1.446,1.448,1.441,1.444,5845.14
33,1766777400000,1.444,1.451,1.444,1.451,1314.52
34,1766778300000,1.451,1.452,1.447,1.447,1920.38
35,1766779200000,1.447,1.448,1.444,1.445,967.94
36,1766780100000,1.445,1.445,1.443,1.444,1076.45
37,1766781000000,1.444,1.445,1.441,1.445,2395.75
38,1766781900000,1.445,1.45,1.445,1.445,2077.3
39,1766782800000,1.445,1.446,1.445,1.446,466.61
40,1766783700000,1.446,1.449,1.446,1.447,698.92
41,1766784600000,1.447,1.447,1.442,1.442,347.47
42,1766785500000,1.442,1.447,1.441,1.441,2544.98
43,1766786400000,1.441,1.448,1.441,1.446,2857.0
44,1766787300000,1.446,1.446,1.443,1.444,1877.23
45,1766788200000,1.444,1.444,1.444,1.444,21.91
46,1766789100000,1.444,1.45,1.443,1.45,1524.42
47,1766790000000,1.45,1.45,1.448,1.448,516.82
48,1766790900000,1.448,1.453,1.447,1.452,2273.34
49,1766791800000,1.452,1.453,1.449,1.449,341.42
50,1766792700000,1.449,1.454,1.449,1.453,1633.78
51,1766793600000,1.453,1.464,1.45,1.458,4494.74
52,1766794500000,1.458,1.472,1.458,1.471,15023.69
53,1766795400000,1.471,1.499,1.47,1.493,19056.66
54,1766796300000,1.493,1.524,1.473,1.49,79075.27
