,timestamp,open,high,low,close,volume
0,1766327400000,1.464,1.468,1.462,1.467,28887.53
1,1766328300000,1.467,1.469,1.465,1.469,14076.75
2,1766329200000,1.469,1.472,1.464,1.469,9287.18
3,1766330100000,1.469,1.471,1.461,1.464,14353.52
4,1766331000000,1.464,1.466,1.455,1.458,56277.6
5,1766331900000,1.458,1.471,1.458,1.464,97496.84
6,1766332800000,1.464,1.466,1.458,1.462,20803.83
7,1766333700000,1.462,1.476,1.459,1.474,25415.69
8,1766334600000,1.474,1.475,1.471,1.473,8473.66
9,1766335500000,1.473,1.476,1.471,1.476,8948.94
10,1766336400000,1.476,1.485,1.474,1.485,27678.16
11,1766337300000,1.485,1.487,1.475,1.477,14736.94
12,1766338200000,1.477,1.479,1.472,1.473,12742.41
13,1766339100000,1.473,1.473,1.467,1.469,44346.24
14,1766340000000,1.469,1.469,1.456,1.461,70569.79
15,1766340900000,1.461,1.469,1.461,1.469,5655.11
16,1766341800000,1.469,1.474,1.468,1.473,21548.75
17,1766342700000,1.473,1.476,1.472,1.475,3331.88
18,1766343600000,1.475,1.481,1.475,1.479,9618.69
19,1766344500000,1.479,1.481,1.478,1.48,19876.02
20,1766345400000,1.48,1.481,1.473,1.481,58744.31
21,1766346300000,1.481,1.49,1.481,1.489,32603.05
22,1766347200000,1.489,1.49,1.486,1.486,10636.98
23,1766348100000,1.486,1.488,1.483,1.484,4869.58
24,1766349000000,1.484,1.485,1.479,1.481,22916.63
25,1766349900000,1.481,1.481,1.479,1.48,15651.01
26,1766350800000,1.48,1.485,1.478,1.483,9157.09
27,1766351700000,1.483,1.487,1.482,1.482,9235.76
28,1766352600000,1.482,1.485,1.474,1.475,29972.51
29,1766353500000,1.475,1.482,1.468,1.478,82241.85
30,1766354400000,1.478,1.485,1.475,1.485,41184.2
31,1766355300000,1.485,1.488,1.482,1.486,9947.4
32,1766356200000,1.486,1.496,1.485,1.495,33335.68
33,1766357100000,1.495,1.504,1.494,1.504,42300.93
34,1766358000000,1.504,1.52,1.504,1.519,56053.26
35,1766358900000,1.519,1.528,1.502,1.502,81299.31
36,1766359800000,1.502,1.508,1.499,1.504,22464.97
37,1766360700000,1.504,1.512,1.504,1.509,15064.24
38,1766361600000,1.509,1.532,1.509,1.53,76106.15
39,1766362500000,1.53,1.543,1.514,1.523,106847.66
40,1766363400000,1.523,1.528,1.514,1.525,38044.96
41,1766364300000,1.525,1.527,1.513,1.513,24437.15
