,timestamp,open,high,low,close,volume
0,1766885400000,1.444,1.4452,1.4421,1.4422,19313.15
1,1766886300000,1.4422,1.444,1.4412,1.4425,19250.38
2,1766887200000,1.4425,1.4449,1.4416,1.4446,11059.66
3,1766888100000,1.4446,1.4512,1.4444,1.4509,14948.22
4,1766889000000,1.4509,1.4564,1.4498,1.4535,29566.0
5,1766889900000,1.4535,1.4538,1.4497,1.4499,17754.82
6,1766890800000,1.4499,1.45,1.4463,1.4478,37731.12
7,1766891700000,1.4478,1.4503,1.4476,1.4484,13684.87
8,1766892600000,1.4484,1.4526,1.4484,1.4518,5608.45
9,1766893500000,1.4518,1.4531,1.451,1.4521,13428.29
10,1766894400000,1.4521,1.4537,1.4501,1.453,13772.09
11,1766895300000,1.453,1.454,1.4508,1.452,9430.09
12,1766896200000,1.452,1.4531,1.449,1.4502,8930.76
13,1766897100000,1.4502,1.4506,1.4486,1.4501,5165.57
14,1766898000000,1.4501,1.4513,1.4484,1.4494,19366.29
15,1766898900000,1.4494,1.4495,1.4464,1.4474,16581.64
16,1766899800000,1.4474,1.4509,1.4469,1.4475,11317.07
17,1766900700000,1.4475,1.4492,1.4458,1.4471,12665.56
18,1766901600000,1.4471,1.4517,1.4471,1.4515,20108.12
19,1766902500000,1.4515,1.454,1.4511,1.4512,12994.09
20,1766903400000,1.4512,1.456,1.4512,1.4537,27513.22
21,1766904300000,1.4537,1.4552,1.4516,1.4543,101164.3
22,1766905200000,1.4543,1.4556,1.4522,1.4531,36578.99
23,1766906100000,1.4531,1.4534,1.4501,1.4512,17458.58
24,1766907000000,1.4512,1.4518,1.4496,1.4497,30065.72
25,1766907900000,1.4497,1.4516,1.4492,1.4512,17918.34
26,1766908800000,1.4512,1.4555,1.4512,1.4551,34810.41
27,1766909700000,1.4551,1.4556,1.4533,1.4542,18644.38
28,1766910600000,1.4542,1.459,1.4528,1.4551,97092.25
29,1766911500000,1.4551,1.4565,1.4526,1.4535,17825.15
30,1766912400000,1.4535,1.4535,1.4478,1.451,74965.9
31,1766913300000,1.451,1.4527,1.4497,1.4526,6994.42
32,1766914200000,1.4526,1.4533,1.4458,1.4485,36327.43
33,1766915100000,1.4485,1.4486,1.4469,1.4486,18989.42
34,1766916000000,1.4486,1.455,1.4486,1.4507,36997.96
35,1766916900000,1.4507,1.4533,1.4491,1.4527,47596.31
36,1766917800000,1.4527,1.4542,1.4482,1.4497,34909.33
37,1766918700000,1.4497,1.4506,1.4472,1.4489,27927.25
