,timestamp,open,high,low,close,volume
0,1766327400000,0.5,0.501,0.499,0.5,3767.22
1,1766328300000,0.5,0.501,0.499,0.501,74853.55
2,1766329200000,0.501,0.502,0.501,0.502,10856.74
3,1766330100000,0.502,0.502,0.499,0.5,6451.96
4,1766331000000,0.5,0.501,0.499,0.499,45007.95
5,1766331900000,0.499,0.503,0.499,0.502,36325.83
6,1766332800000,0.502,0.502,0.5,0.501,19806.58
7,1766333700000,0.501,0.505,0.5,0.504,24199.83
8,1766334600000,0.504,0.506,0.504,0.505,12711.86
9,1766335500000,0.505,0.505,0.504,0.505,15979.55
10,1766336400000,0.505,0.507,0.505,0.506,31394.68
11,1766337300000,0.506,0.509,0.506,0.506,3617.43
12,1766338200000,0.506,0.506,0.504,0.505,15875.47
13,1766339100000,0.505,0.505,0.504,0.504,9988.82
14,1766340000000,0.504,0.504,0.5,0.5,16069.8
15,1766340900000,0.5,0.501,0.5,0.5,6138.14
16,1766341800000,0.5,0.503,0.5,0.503,4051.38
17,1766342700000,0.503,0.503,0.503,0.503,474.11
18,1766343600000,0.503,0.504,0.503,0.503,6108.87
19,1766344500000,0.503,0.504,0.503,0.503,5055.21
20,1766345400000,0.503,0.504,0.501,0.504,33702.23
21,1766346300000,0.504,0.506,0.504,0.506,8581.36
22,1766347200000,0.506,0.506,0.504,0.505,3319.79
23,1766348100000,0.505,0.505,0.503,0.503,5026.47
24,1766349000000,0.503,0.504,0.502,0.503,9822.72
25,1766349900000,0.503,0.504,0.503,0.504,14506.44
26,1766350800000,0.504,0.504,0.503,0.504,3437.13
27,1766351700000,0.504,0.505,0.504,0.505,5446.82
28,1766352600000,0.505,0.507,0.504,0.504,60057.29
29,1766353500000,0.504,0.504,0.502,0.503,28174.04
30,1766354400000,0.503,0.505,0.503,0.505,11613.75
31,1766355300000,0.505,0.507,0.505,0.506,15339.07
32,1766356200000,0.506,0.507,0.506,0.507,4555.7
33,1766357100000,0.507,0.509,0.507,0.509,25002.45
34,1766358000000,0.509,0.514,0.509,0.512,56304.61
35,1766358900000,0.512,0.513,0.511,0.511,18069.37
36,1766359800000,0.511,0.511,0.509,0.511,9910.89
37,1766360700000,0.511,0.513,0.511,0.512,9125.95
38,1766361600000,0.512,0.521,0.512,0.52,111263.27
39,1766362500000,0.52,0.524,0.515,0.516,20472.62
40,1766363400000,0.516,0.519,0.514,0.517,88803.76
41,1766364300000,0.517,0.518,0.515,0.515,11215.61
42,1766365200000,0.515,0.517,0.514,0.516,42961.0
43,1766366100000,0.516,0.518,0.515,0.517,1239.04
44,1766367000000,0.517,0.519,0.517,0.517,5516.2
45,1766367900000,0.517,0.517,0.512,0.513,11622.38
46,1766368800000,0.513,0.513,0.505,0.509,113987.76
47,1766369700000,0.509,0.51,0.506,0.509,34364.95
48,1766370600000,0.509,0.512,0.509,0.51,6124.17
49,1766371500000,0.51,0.512,0.51,0.512,11048.77
50,1766372400000,0.512,0.516,0.509,0.513,11557.61
51,1766373300000,0.513,0.515,0.513,0.515,24525.35
52,1766374200000,0.515,0.516,0.514,0.514,5651.47
53,1766375100000,0.514,0.515,0.513,0.513,4101.22
54,1766376000000,0.513,0.515,0.513,0.514,8638.54
55,1766376900000,0.514,0.517,0.514,0.517,9041.26
56,1766377800000,0.517,0.517,0.516,0.517,5796.37
57,1766378700000,0.517,0.517,0.516,0.516,12330.07
58,1766379600000,0.516,0.517,0.515,0.515,9361.42
59,1766380500000,0.515,0.516,0.514,0.514,5939.48
60,1766381400000,0.514,0.515,0.513,0.515,4156.61
61,1766382300000,0.515,0.515,0.514,0.514,5031.06
62,1766383200000,0.514,0.514,0.513,0.513,1858.15
63,1766384100000,0.513,0.516,0.513,0.514,3512.16
64,1766385000000,0.514,0.516,0.514,0.515,4351.7
65,1766385900000,0.515,0.515,0.514,0.514,2471.16
66,1766386800000,0.514,0.518,0.513,0.517,17721.68
67,1766387700000,0.517,0.517,0.516,0.517,8956.57
68,1766388600000,0.517,0.517,0.517,0.517,6513.06
69,1766389500000,0.517,0.517,0.516,0.516,1475.06
